,id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag,ra,dec,spectral_type,visual_mag,simbad_distance_pc,abs_mag,spectral_class
78,1164,1865.9217763079776,1385.471278581374,0.4950904209086578,0.038368936006792205,0.31040943900157336,25,3258.6666666666665,29402.999999999996,-11.170979109786906,-3.697658438717241,39.13122796459209,62.06303053830653,,10.039999961853027,2391.2,-1.8530795483030928,
79,1672,1800.0332236389702,1879.1030822800865,0.49273498994159287,-0.0017647210577122255,0.2197284501115748,25,3199.6666666666665,29351.666666666668,-11.169081916734703,-3.6663843217521865,40.30177390492938,62.00030064863787,,10.210000038146973,555.093,1.4881712846667519,
80,1035,658.5399606831005,1256.6399169577758,0.5037864790135461,0.2792147666315869,0.2480979208229658,25,3043.6666666666665,29166.666666666664,-11.162216995756626,-3.562284723162254,38.9162110775686,60.720306196729176,A,10.09000015258789,714.388,0.8203293983922784,A
81,196,1869.4750947119674,333.82521965007925,0.4837703038675676,0.16692123789465432,0.04254054439539064,25,2953.6666666666665,29014.0,-11.156519016782129,-3.5481954115312675,36.64483538778143,62.012103615304156,,13.100000381469727,2043.318,1.5483205774360975,
82,257,263.7204718360551,410.0446282792178,0.4773600900460922,0.17321651728082924,0.1560416889100534,25,2774.3333333333335,28437.333333333332,-11.134722171695211,-3.4449765911585253,37.05216974193452,60.24014484238019,A2,10.229999542236328,387.687,2.2875933502377066,A
83,768,454.83841762185097,996.0701934618128,0.49802282656425695,0.019539707735785106,0.24160301403819362,25,3035.6666666666665,28145.999999999996,-11.123541708327005,-3.5971569545675255,38.34402792679396,60.48421840205866,F2,10.25,2452.784,-1.6982965226494002,F
84,1563,1450.5461191544503,1782.4629144387577,0.46607659152076075,0.3127826014023937,0.1851563003215285,25,2742.0,27959.666666666668,-11.116329973684625,-3.4534164027377856,40.084671507219696,61.611546138996005,F5,10.09000015258789,358.243,2.3191115869838157,F
85,767,1317.388919265753,992.753022462499,0.5131732460311026,-0.11091644553703932,0.19842475667620418,25,3057.0,27735.666666666668,-11.107596523083101,-3.6038067730395094,38.25585514648224,61.439953818586055,,,,,
86,230,458.4224521976193,373.56320780375756,0.47222324243698466,0.4364866811228696,0.1556543811367165,25,2672.0,27677.666666666668,-11.105323686598297,-3.404198892387806,36.943986308244455,60.4532045649472,,,,,
87,1194,1874.5458436462413,1411.0457951655326,0.475835375667966,0.046055727558024895,0.10270882927227533,25,2942.0,27545.666666666668,-11.100133219332884,-3.5902815135505888,39.19121695046634,62.073367158106514,B9V,12.359999656677246,990.099,2.381606547305182,B
88,1536,1612.362111368384,1760.002311619628,0.4906235751269561,-0.046543093810937484,0.16259934792306852,25,2951.6666666666665,27417.666666666668,-11.095076230354216,-3.5772687547553925,40.02679544295565,61.79063306728343,G0V,10.25,159.365,4.238035264633737,G
89,1645,760.5963647423706,1850.946854145607,0.49659273821531974,-0.023069964265657675,0.1892292755774223,25,2887.3333333333335,27341.333333333336,-11.09204922411551,-3.5278377800960503,40.26199768450097,60.84735961348556,B2III:,10.270000457763672,2142.245,-1.3843452315396014,B
90,855,1606.9567370020538,1081.6067602063044,0.49754495850605995,0.06912103667260247,0.26789572793379895,25,2996.3333333333335,27262.666666666668,-11.088920833990265,-3.5998597396551424,38.43587728992352,61.764798693511295,,10.140000343322754,823.791,0.5609151286468848,
91,220,308.55849014105223,361.9278551626599,0.47741095641079717,-0.03563532877387009,-0.03352509855240022,25,2588.3333333333335,27045.333333333332,-11.08023084621034,-3.3484174935661537,36.938642979602754,60.28654477176896,,10.40999984741211,1077.586,0.24774014542916234,
92,137,1584.522675568541,237.4338267412718,0.46603436971231393,-0.31991880506500164,0.18387147156628536,25,2541.0,26914.333333333332,-11.074959067081814,-3.3423627065940242,36.4639032311904,61.68962112015651,A5,10.09000015258789,414.8345,2.0006258144782123,A
93,1266,914.3041865395393,1497.3458674356334,0.48966398829232904,0.20068104706360756,0.25249184173077543,25,2840.3333333333335,26707.0,-11.066562766045617,-3.524961937379043,39.44866394378907,61.01114651292013,OB,10.170000076293945,2264.493,-1.6048548363565267,O
94,378,21.590440026337713,581.9866605297615,0.46074747295766527,0.14126746006365695,0.123034110294239,25,2451.6666666666665,26101.666666666668,-11.041670597945979,-3.313217872053604,37.46498546765973,59.98287743286952,M1.5Iab,10.609999656677246,1926.411,-0.8137450905720307,M
95,85,1777.8868619237157,148.03097933469715,0.4806423340817722,0.021315349311787468,0.10706577947674754,25,2719.6666666666665,25838.333333333332,-11.030661241624117,-3.4805999752199455,36.22247957580714,61.89649108425026,M3,10.369999885559082,1044.059,0.27637467838482266,M
96,838,34.81046725464148,1069.8617936021437,0.4789121852089164,0.18274120327464694,0.3000325398324752,25,2477.3333333333335,25461.333333333332,-11.014702856517495,-3.318203718448828,38.545241884367044,60.02195836720201,B2III:,10.260000228881836,3233.107,-2.2881001604620543,B
97,1487,957.6599907116176,1709.2030345212124,0.527534968951601,-0.1473408557211027,0.2135050300412693,25,2815.6666666666665,25174.333333333332,-11.002394945979905,-3.50018646218437,39.932066956956525,61.06379828616232,A3,10.170000076293945,362.266,2.374862197251339,A
98,93,1754.5497810667582,164.80977390728663,0.4584908923754433,-0.2804649350150372,0.04685332889852848,25,2413.0,25121.999999999996,-11.000135528187185,-3.3173528433400556,36.26584402958649,61.872026750280014,F5,10.270000457763672,226.311,3.496472139532262,F
99,177,882.97932865899,301.8579272137485,0.4879323902819847,0.17853164897754664,0.2792190393500219,25,2602.6666666666665,24758.999999999996,-10.98433274957252,-3.4218735858362317,36.7209355999623,60.918091953843906,A0,10.319999694824219,576.037,1.5177477952450449,A
